,0
0,1173
1,1175
2,1177
3,13038
4,1171
5,2042
6,6612
7,11133
8,9343
9,8233
10,7959
11,2696
12,13155
13,2742
14,7145
15,5400
16,9314
17,10927
18,1179
19,12408
20,13080
21,1069
22,13197
23,12584
24,1181
25,1183
26,3992
27,1185
28,8674
29,10925
30,9469
31,3244
32,13580
33,780
34,7221
35,9838
36,1187
37,2310
38,829
39,10914
40,1189
41,8423
42,3567
43,12735
44,12859
45,11499
46,8512
47,7756
48,399
49,2151
50,8074
51,13558
52,7151
53,564
54,4300
55,9038
56,2085
57,11393
58,11677
59,13384
60,2693
61,13576
62,2765
63,9120
64,7591
65,13207
66,10394
67,2568
68,2366
69,2771
70,11115
71,7160
72,3729
73,12576
74,6807
75,8694
76,5996
77,3175
78,5844
79,9081
80,1190
81,12210
82,13553
83,12451
84,8776
85,1192
86,13279
87,4522
88,11987
89,1194
90,4603
91,4423
92,8545
93,7077
94,10541
95,8301
96,9291
97,1124
98,1196
99,2758
100,11764
101,12665
102,9241
103,10642
104,13324
105,572
106,9280
107,5795
108,4478
109,3562
110,9048
111,14
112,10802
113,11014
114,5131
115,12620
116,4859
117,1198
118,4869
119,1200
120,5245
121,623
122,13742
123,3514
124,1202
125,10200
126,9880
127,12334
128,8264
129,1204
130,4898
131,6287
132,11035
133,9196
134,4130
135,5570
136,4083
137,3297
138,712
139,1206
140,7162
141,1208
142,8156
143,8085
144,1210
145,7587
146,5267
147,7709
148,9824
149,6906
150,10841
151,595
152,908
153,750
154,1212
155,4628
156,7096
157,1214
158,9493
159,7797
160,13375
161,5459
162,3275
163,13167
164,11933
165,2363
166,10881
167,142
168,12598
169,5374
170,7133
171,3437
172,7375
173,1216
174,7668
175,5955
176,1218
177,5325
178,702
179,4234
180,5419
181,2821
182,6848
183,10929
184,2892
185,13845
186,9258
187,13300
188,5827
189,5830
190,12673
191,10261
192,4497
193,1220
194,6103
195,454
196,186
197,1786
198,12327
199,11474
200,1222
201,12944
202,8793
203,14000
204,11448
205,11927
206,4342
207,7175
208,1224
209,9330
210,6283
211,36
212,1226
213,12738
214,8688
215,261
216,4779
217,1227
218,3213
219,4108
220,2680
221,12929
222,3656
223,4695
224,2770
225,140
226,13819
227,4097
228,9423
229,1229
230,1231
231,10025
232,3295
233,7249
234,1233
235,1235
236,8799
237,13532
238,13948
239,3628
240,5603
241,3856
242,3266
243,1237
244,5406
245,531
246,7401
247,13063
248,1239
249,16
250,6147
251,6262
252,9969
253,2288
254,12239
255,7635
256,4488
257,8154
258,625
259,11386
260,7791
261,13538
262,13350
263,2272
264,12281
265,8275
266,3596
267,12274
268,9088
269,2059
270,342
271,5078
272,7759
273,1241
274,6201
275,1243
276,4949
277,13306
278,3955
279,4068
280,8214
281,1244
282,1246
283,2954
284,1248
285,7497
286,13470
287,4969
288,7001
289,933
290,3724
291,3726
292,13764
293,344
294,4919
295,4142
296,1250
297,1252
298,4050
299,4376
300,12760
301,5100
302,663
303,1254
304,11652
305,1256
306,5464
307,9781
308,1258
309,1260
310,8224
311,506
312,580
313,3721
314,3756
315,1262
316,5712
317,2117
318,1264
319,13111
320,1266
321,1268
322,1270
323,1272
324,1274
325,2404
326,6786
327,9141
328,4699
329,4008
330,9162
331,6130
332,4623
333,6667
334,13947
335,4449
336,1276
337,3980
338,4719
339,518
340,1279
341,8010
342,5798
343,10588
344,8007
345,11805
346,1281
347,1283
348,1285
349,1287
350,4159
351,8682
352,7629
353,9256
354,13290
355,9613
356,10238
357,4487
358,11214
359,8666
360,13677
361,11462
362,5316
363,7156
364,10776
365,2211
366,5907
367,179
368,6845
369,4636
370,4515
371,9525
372,3578
373,4380
374,9019
375,10626
376,546
377,1289
378,7061
379,367
380,11996
381,11250
382,13242
383,5865
384,11306
385,1584
386,6207
387,10214
388,6070
389,5495
390,13288
391,3050
392,6442
393,1293
394,3242
395,939
396,12012
397,724
398,31
399,3160
400,5709
401,9095
402,5
403,1295
404,11930
405,1297
406,13641
407,1299
408,1301
409,1303
410,6268
411,10443
412,5280
413,13735
414,10400
415,3808
416,10140
417,7344
418,9732
419,12911
420,4439
421,6795
422,7154
423,4455
424,1846
425,11866
426,13550
427,13078
428,4015
429,12356
430,7680
431,13439
432,4143
433,7570
434,2940
435,1305
436,12294
437,2314
438,2938
439,8598
440,1307
441,12421
442,13501
443,4379
444,4654
445,6007
446,13715
447,6657
448,12709
449,7847
450,2989
451,1309
452,7867
453,9265
454,1311
455,9415
456,7253
457,7255
458,1313
459,10651
460,5732
461,9692
462,642
463,12097
464,1315
465,1317
466,3557
467,608
468,586
469,1319
470,1321
471,3248
472,12347
473,8465
474,7509
475,2738
476,284
477,1323
478,244
479,9341
480,13556
481,5227
482,5240
483,5834
484,4770
485,2496
486,4354
487,6446
488,7590
489,8808
490,987
491,6931
492,5154
493,180
494,2286
495,4821
496,1325
497,924
498,1327
499,1329
500,7560
501,382
502,1278
503,8391
504,11864
505,8250
506,8493
507,7658
508,7743
509,1331
510,11271
511,12246
512,3775
513,1333
514,4932
515,7613
516,8556
517,1335
518,11405
519,10316
520,7764
521,294
522,7112
523,11519
524,1337
525,7672
526,11582
527,9505
528,12764
529,5926
530,2292
531,13881
532,4470
533,3877
534,5412
535,1147
536,5322
537,165
538,2483
539,1338
540,5550
541,4035
542,6061
543,11567
544,11169
545,13032
546,8680
547,376
548,8709
549,1340
550,7377
551,5601
552,6636
553,3689
554,6304
555,6583
556,1342
557,636
558,3728
559,2166
560,4093
561,12814
562,12835
563,12642
564,3604
565,4214
566,693
567,2530
568,11189
569,12112
570,12223
571,1344
572,4494
573,13858
574,7215
575,6949
576,6825
577,6290
578,13870
579,1346
580,1348
581,3052
582,664
583,9639
584,1350
585,4835
586,3545
587,7323
588,7094
589,1352
590,8731
591,5232
592,536
593,1354
594,6924
595,12140
596,7989
597,3667
598,7531
599,11010
600,5964
601,615
602,6038
603,640
604,5785
605,5708
606,6653
607,283
608,10917
609,12727
610,9244
611,7948
612,12676
613,13342
614,6363
615,10558
616,10728
617,2345
618,7983
619,12022
620,11581
621,3918
622,14005
623,10469
624,1832
625,1356
626,11476
627,6748
628,7297
629,4101
630,12825
631,9289
632,782
633,7804
634,12989
635,13520
636,12173
637,7625
638,1358
639,6025
640,13411
641,12915
642,7206
643,8853
644,9595
645,7674
646,5081
647,149
648,7915
649,10672
650,5651
651,11344
652,4441
653,7446
654,4307
655,2467
656,6733
657,1361
658,2062
659,6444
660,5005
661,12770
662,10887
663,11961
664,9585
665,990
666,1363
667,1365
668,2301
669,10432
670,7110
671,159
672,10430
673,3985
674,1367
675,10578
676,1369
677,6857
678,7286
679,2895
680,3587
681,9589
682,11968
683,2319
684,7525
685,5941
686,7450
687,4397
688,13363
689,2307
690,6321
691,12055
692,5777
693,12042
694,7913
695,10846
696,5982
697,3572
698,13666
699,8491
700,4968
701,11714
702,4425
703,13067
704,10268
705,10615
706,13414
707,1371
708,1373
709,4686
710,964
711,1375
712,2312
713,13615
714,1095
715,6374
716,773
717,1377
718,1379
719,707
720,5196
721,4883
722,2305
723,6001
724,8284
725,11198
726,11592
727,11880
728,2458
729,262
730,1381
731,5203
732,1384
733,1386
734,1388
735,11973
736,7907
737,6491
738,1164
739,8791
740,2076
741,3974
742,1390
743,1392
744,2239
745,7811
746,7943
747,1394
748,6804
749,11038
750,13297
751,13376
752,13561
753,10842
754,1396
755,1398
756,8081
757,757
758,2732
759,6228
760,8334
761,2303
762,3739
763,3231
764,349
765,7125
766,13560
767,7554
768,465
769,12687
770,12704
771,4351
772,3906
773,6986
774,4620
775,12384
776,472
777,2229
778,6617
779,5181
780,5508
781,2828
782,12648
783,431
784,8014
785,9989
786,5089
787,11890
788,9177
789,999
790,3660
791,176
792,544
793,9364
794,2216
795,8601
796,8404
797,5228
798,1400
799,1402
800,3754
801,1405
802,8806
803,11028
804,13200
805,12792
806,7411
807,13761
808,10806
809,10939
810,5025
811,8266
812,3967
813,7937
814,10167
815,3884
816,6577
817,1407
818,12117
819,8407
820,755
821,4630
822,6780
823,1409
824,1411
825,1413
826,768
827,4519
828,1415
829,242
830,8815
