id,name,assoc_names,original_langauge,authors,genres,tags,start_year,licensed,original_publisher,english_publisher,complete_original,chapters_original_current,complete_translated,chapter_latest_translated,release_freq,activity_week_rank,activity_month_rank,activity_all_time_rank,on_reading_lists,reading_list_month_rank,reading_list_all_time_rank,rating,rating_votes,related_series_ids,recommended_series_ids,recommendation_list_ids
27232,A Fascinating Marriage with the Colonel,['军婚迷情：老公步步紧逼'],chinese,"['an ge', '安歌']",['romance'],"['cold love interests', 'female protagonist', 'marriage']",2020,True,zongheng,tapread,True,346 chapters,False,c40,2.8,2722,2899,4494,256,4100,5194,3.2,12,,,"[8137, 4455]"
29224,A Love for Three Lives：Monster King Don’t Forget Me,['三世情深：魔君，勿忘我'],chinese,"['tang hua mo ge', '唐婳墨歌']","['fantasy', 'romance']","['fallen nobility', 'fantasy world', 'female protagonist', 'strategic battles']",2019,True,zongheng,tapread,False,444 chapters,False,c11,2.3,2206,2087,6079,160,3757,5808,3.2,9,,,
2765,A Record of a Mortal’s Journey to Immortality,"['Fan Ren Xiu Xian Chuan', 'Phàm Nhân Tu Tiên', 'RMJI', '凡人修仙传']",chinese,"['wang yu', '忘语']","['action', 'adventure', 'martial arts', 'xianxia']","['alchemy', 'androgynous characters', 'appearance different from actual age', 'artifacts', 'average-looking protagonist', 'beast companions', 'beautiful female lead', 'body tempering', 'calm protagonist', 'cautious protagonist', 'character growth', 'clever protagonist', 'crafting', 'cultivation', 'dao companion', 'dao comprehension', 'demons', 'doctors', 'dragons', 'eidetic memory', 'eye powers', 'hard-working protagonist', 'heavenly tribulation', 'hiding true abilities', 'immortals', 'kidnappings', 'loner protagonist', 'long separations', 'lucky protagonist', 'magic formations', 'male protagonist', 'marriage', 'mature protagonist', 'multiple realms', 'multiple reincarnated individuals', 'older love interests', 'phoenixes', 'pill based cultivation', 'pill concocting', 'pragmatic protagonist', 'protagonist with multiple bodies', 'puppeteers', 'r*pe victim becomes lover', 'romantic subplot', 'ruthless protagonist', 'schemes and conspiracies', 'secretive protagonist', 'slow growth at start', 'soul power', 'souls', 'spirit advisor', 'strength-based social hierarchy', 'sword wielder', 'time skip', 'timid protagonist', 'unique cultivation technique', 'wars', 'weak to strong']",2008,True,qidian,wuxiaworld,True,2446 chapters,False,c1446,0.5,61,52,82,8874,55,189,4.0,643,"['180', '4745']","['15', '180', '181', '5844', '364', '4052']","[7562, 7503, 6922, 6837, 6333]"
9120,A Round Trip To Love,"['双程 1 - 归途 Long Way Home', '双程 2 - 殊途 Separate Routes', '双程 3 - 如果 If Only']",chinese,"['lan lin', '藍淋']","['adult', 'drama', 'romance', 'tragedy', 'yaoi']","['adapted to movie', 'incest', 'long separations', 'r*pe', 'sexual abuse']",2016,,,,True,6 volumes,False,v3c8,1.5,1713,2042,3346,788,1646,3414,3.5,31,"['1611', '17765', '25382']","['540', '11330', '10025', '13034', '606', '1916']","[8974, 8501]"
11764,Adorable Creature Attacks! Cuteness Overload!,"['ACA', 'Adorable Creature Attack! Beauty is Irresistible!', 'Meng Shou Lai Xi, Mei Se Nan Dang', '萌兽来袭，美色难挡']",chinese,"['ying lanmeng', '盈蓝梦']","['adventure', 'comedy', 'drama', 'fantasy', 'historical', 'josei', 'romance', 'xuanhuan']","['beautiful female lead', 'female protagonist', 'handsome male lead', 'heroes', 'reverse harem', 'shameless protagonist', 'transmigration']",2017,True,zongheng,volare novels,True,197 chapters,False,c85,0.7,1062,1039,1589,2345,1043,1627,4.0,172,,"['17397', '11567', '4830', '10881', '7094', '3492']","[7199, 7064, 3458, 936]"
14233,Adorable Treasured Fox: Divine Doctor Mother Overturning The Heavens!,"['医后倾天', '爆萌狐宝：神医娘亲要逆天']",chinese,"['xiao qi ye', '萧七爷']","['comedy', 'fantasy', 'josei', 'martial arts', 'romance', 'xuanhuan']","['alchemy', 'arrogant characters', 'beautiful female lead', 'black belly', 'broken engagement', 'calm protagonist', 'childcare', 'cold love interests', 'cold protagonist', 'complex family relationships', 'cultivation', 'cunning protagonist', 'cute children', 'demons', 'devoted love interests', 'doctors', 'dragons', 'female protagonist', 'genius protagonist', 'handsome male lead', 'hard-working protagonist', 'human-nonhuman relationship', 'love interest falls in love first', 'multiple realms', 'mysterious family background', 'nobles', 'persistent love interests', 'pets', 'possessive characters', 'pregnancy', 'revenge', 'reverse r*pe', 'strength-based social hierarchy', 'strong love interests', 'transmigration', 'weak to strong']",2017,,qidian,,True,2563 chapters,False,c1229,0.5,368,397,138,5999,348,439,4.1,282,,"['15005', '8414', '13422', '20844', '5865', '16627']","[9017, 8861, 7612, 7256, 7199]"
29057,"After Our Divorce, I Still Wore Your Jacket",['离婚之后我还穿着你的外套'],chinese,"[""not asking if it's three or nine"", '不问三九']","['romance', 'yaoi']","['celebrities', 'character growth', 'divorce', 'modern day']",2018,,jjwxc,,True,70 chapters,False,c20,1.8,628,685,3723,616,738,3851,4.0,28,['26145'],"['19898', '19387', '19498', '19748', '28918', '21253']","[8740, 8260, 8160, 8021, 7355]"
14,Against the Gods,"['ATG', 'Heaven-Defying Evil God', 'Nghịch Thiên Tà Thần', 'Ni Tian Xie Shen', '逆天邪神']",chinese,"['mars gravity', '火星引力']","['action', 'adventure', 'ecchi', 'fantasy', 'harem', 'martial arts', 'mature', 'xuanhuan']","['adapted to manhua', 'adopted protagonist', 'arranged marriage', 'arrogant characters', 'artifacts', 'beautiful female lead', 'betrayal', 'bloodlines', 'body tempering', 'charismatic protagonist', 'childhood friends', 'cruel characters', 'cultivation', 'cunning protagonist', 'death', 'death of loved ones', 'demi-humans', 'demons', 'depictions of cruelty', 'determined protagonist', 'distrustful protagonist', 'divorce', 'dragons', 'elves', 'enemies become allies', 'enemies become lovers', 'fast cultivation', 'female master', 'first-time intercourse', 'friends become enemies', 'gods', 'handsome male lead', 'hard-working protagonist', 'harem-seeking protagonist', 'hated protagonist', 'heavenly tribulation', 'inheritance', 'kuudere', 'loli', 'long separations', 'lucky protagonist', 'magical space', 'male protagonist', 'manipulative characters', 'marriage', 'master-disciple relationship', 'master-servant relationship', 'medical knowledge', 'multiple realms', 'multiple reincarnated individuals', 'mythical beasts', 'older love interests', 'past plays a big role', 'perverted protagonist', 'phoenixes', 'pill concocting', 'playful protagonist', 'polygamy', 'possessive characters', 'power couple', 'pregnancy', 'previous life talent', 'r*pe victim becomes lover', 'reincarnation', 'resurrection', 'revenge', 'reverse r*pe', 'romantic subplot', 'r*pe', 'ruthless protagonist', 'saving the world', 'schemes and conspiracies', 'second chance', 'sentient objects', 'shameless protagonist', 'sharp-tongued characters', 'soul power', 'spirit advisor', 'spirits', 'strong love interests', 'student-teacher relationship', 'sword wielder', 'threesome', 'time skip', 'time travel', 'torture', 'tragic past', 'tsundere', 'underestimated protagonist', 'wars', 'weak to strong', 'younger love interests']",2014,True,zongheng,wuxiaworld,False,1711 chapters,False,c1689,0.9,7,10,5,21270,9,6,3.9,3252,,"['10', '2072', '791', '6363', '179', '4010']","[9377, 9018, 8890, 8884, 8192]"
30064,Asteroid,['小行星'],chinese,"['wei feng ji xv', '微风几许']","['comedy', 'drama', 'romance', 'shounen ai', 'yaoi']","['amnesia', 'showbiz']",2019,,jjwxc,,False,87 chapters,False,c5,0.8,2000,1600,6173,201,3890,5521,4.0,6,,,[9139]
29462,Bix Magic Cube Game World,['比克斯魔方'],chinese,['sisimo'],"['adventure', 'fantasy', 'romance', 'sci-fi', 'shounen ai', 'supernatural']","['game elements', 'handsome male lead', 'master-servant relationship', 'virtual reality', 'weak to strong']",2019,,jjwxc,,True,143 chapters,False,c19,1.0,1402,810,4893,280,1743,5070,4.2,15,,['20603'],[8740]
29338,Black Lotus Tactics Manual,['黑莲花攻略手册[穿书]'],chinese,"['bai yu zhai diao gong', 'white-feather eagle bow', '白羽摘雕弓']","['adventure', 'fantasy', 'mystery', 'romance']","['ancient china', 'character growth', 'demons', 'female protagonist', 'male yandere', 'misunderstandings', 'possessive characters', 'slow romance', 'weak protagonist']",,,jjwxc,,True,118,False,c10,2.3,930,1694,4631,277,1780,5085,3.6,11,,,"[6600, 4500, 2225]"
17132,Can You Connect to Your Wifi?,"['CYCYW?', '能连你家WIFI吗？']",chinese,['痣鸽'],"['romance', 'yaoi']","['fujoshi', 'modern day', 'pets', 'teachers']",2018,,jjwxc,,True,69 chapters,False,c3,101.7,3680,804,3497,1071,4006,2933,4.4,41,,"['15545', '12209', '13829', '17482']","[9225, 9130, 1197]"
28833,Changying the Lady,['贵女长嬴'],chinese,"['fan duo', '繁朵\xa0']","['josei', 'romance']","['ancient times', 'female protagonist', 'kingdoms', 'late romance', 'strategic battles']",2013,True,zongheng,tapread,,,False,c44,0.9,1029,1140,5031,208,2472,5473,2.8,13,,,[8776]
27228,Cinderella Innocent and Boss Charming,['冷面首席缠爱小女佣'],chinese,"['mo zi bai', '墨子白']",['romance'],"['female protagonist', 'modern day', 'older love interests', 's*x slaves', 'sexual abuse', 'wealthy characters']",2020,True,zongheng,tapread,True,952 chapters,False,c40,2.8,1875,1923,4577,267,3224,5138,3.2,20,,,
17581,Contract Marriage,"['Lease Marriage', '契婚']",chinese,"['công tử như lan', 'gongzi rulan', '公子如兰']","['drama', 'romance', 'yaoi']","['contracts', 'devoted love interests', 'handsome male lead', 'love interest falls in love first', 'marriage', 'older love interests', 'tsundere']",2015,,jjwxc,,True,25 chapters,,c2,39.1,727,840,1923,2114,1905,1794,4.4,125,,['15297'],"[9130, 8407, 7904, 7844, 7378]"
29559,Dating the Strongest Boss,"['DtSB', 'Fall in Love with BOSS in Horror Movies', '与最强boss谈恋爱(快穿)']",chinese,['小白莲一柏君'],"['adventure', 'drama', 'horror', 'romance', 'supernatural', 'yaoi']","['devoted love interests', 'doting love interests', 'episodic', 'ghosts', 'human-nonhuman relationship', 'love interest falls in love first', 'male yandere', 'monsters', 'multiple realms', 'obsessive love', 'possessive characters', 'survival', 'survival game', 'transmigration', 'unconditional love', 'world hopping', 'yandere']",2019,,jjwxc,,True,110 chapters,False,c15,1.2,96,143,2917,1054,294,2962,4.3,32,,"['23803', '25827', '20365', '24601', '14444', '20090']","[9221, 8970, 8506, 8187, 8046]"
28829,"Deceive me, Marry me",['尔虞我嫁'],chinese,"['fan duo', '繁朵\xa0']",['romance'],"['ancient times', 'cute story', 'female protagonist', 'late romance', 'strategic battles']",2016,True,zongheng,tapread,,,False,c44,1.0,1452,1623,5139,250,1620,5227,3.7,12,,,
27806,Demoness’s Art of Vengeance,['魔女打脸攻略'],chinese,"['meditation rock', '冥想石']","['action', 'harem', 'josei', 'romance', 'xianxia']","['arranged marriage', 'arrogant characters', 'beast companions', 'betrayal', 'caring protagonist', 'confident protagonist', 'cultivation', 'death of loved ones', 'demonic cultivation technique', 'determined protagonist', 'doting parents', 'female protagonist', 'magic formations', 'pill based cultivation', 'polyandry', 'protagonist falls in love first', 'revenge', 'reverse harem', 'schemes and conspiracies', 'second chance', 'secretive protagonist', 'sexual cultivation technique', 'slow growth at start', 'sword wielder', 'weak to strong']",,True,17k,wuxiaworld,True,401 chapters,False,c188m,0.5,190,209,1385,1108,177,2872,3.5,46,,"['27812', '18935', '9010', '19376', '17387', '28376']","[7179, 4334, 67]"
6363,Emperor’s Domination,"['Di Ba', 'ED', 'Đế Bá', '帝霸']",chinese,"['yan bi xiao sheng', '厌笔萧生']","['action', 'adventure', 'drama', 'fantasy', 'harem', 'martial arts', 'mature', 'mystery', 'xuanhuan']","['alchemy', 'appearance different from actual age', 'arrogant characters', 'artifacts', 'average-looking protagonist', 'beast companions', 'beautiful female lead', 'bloodlines', 'body tempering', 'buddhism', 'charismatic protagonist', 'cultivation', 'cunning protagonist', 'dao comprehension', 'demons', 'determined protagonist', 'eidetic memory', 'evil protagonist', 'godly powers', 'heavenly tribulation', 'hiding true identity', 'immortals', 'loyal subordinates', 'lucky protagonist', 'maids', 'male protagonist', 'mind control', 'monsters', 'multiple realms', 'overpowered protagonist', 'past plays a big role', 'phoenixes', 'pill concocting', 'playful protagonist', 'quirky characters', 'ruthless protagonist', 'schemes and conspiracies', 'sect development', 'sentient objects', 'shameless protagonist', 'spatial manipulation', 'strength-based social hierarchy', 'strong to stronger', 'teachers', 'time skip', 'underestimated protagonist', 'wars', 'world travel', 'world tree']",2014,False,qidian,wuxiaworld,False,3971 chapters,False,c2915,0.5,6,8,2,16949,7,25,3.9,1813,,"['3952', '2039', '14', '791', '4214', '631']","[9018, 8890, 8889, 8884, 8544]"
15593,Escape the Infinite Chamber,['逃离无限密室'],chinese,"['zǐ jiè', '紫界']","['action', 'fantasy', 'horror', 'mystery', 'psychological', 'romance', 'sci-fi', 'supernatural', 'yaoi']","['alternate world', 'calm protagonist', 'character growth', 'cruel characters', 'death', 'enemies become lovers', 'fantasy world', 'ghosts', 'human-nonhuman relationship', 'manipulative characters', 'military', 'mismatched couple', 'multiple realms', 'mystery solving', 'parallel worlds', 'personality changes', 'power couple', 'r*pe', 'survival', 'survival game', 'weak to strong', 'world travel']",,,jjwxc,,True,201 chapters,False,c41,48.0,863,790,2014,2573,1463,1489,4.5,117,,"['16677', '17543', '15551', '14444', '19106', '20365']","[9288, 9221, 9045, 7990, 7734]"
16345,Eternal Reverence,"['YHZZ', 'Yong Heng Zhi Zun', '永恒至尊']",chinese,"['jian you tai xu', '剑游太墟']","['action', 'adventure', 'harem', 'martial arts', 'xianxia']","['adapted to anime', 'adapted to manhua', 'ancient times', 'arrogant characters', 'beasts', 'beautiful female lead', 'body tempering', 'broken engagement', 'cultivation', 'fast cultivation', 'handsome male lead', 'male protagonist', 'soul power', 'sword wielder', 'underestimated protagonist']",2016,False,163.com / netease,,False,1318 chapters,False,c491,1.1,501,641,903,1681,560,2194,3.5,96,,"['16', '20543', '21856']","[7396, 6714, 5830, 5502, 1992]"
30092,Everyone Knows I’m a Good Person,['全世界都知道我是好人[快穿]'],chinese,"['tang wei shuai', '糖尾帅']","['action', 'adventure', 'comedy', 'historical', 'romance', 'school life', 'shounen ai', 'xianxia', 'yaoi']","['acting', 'aliens', 'alternate world', 'ancient times', 'androids', 'bodyguards', 'cheats', 'clever protagonist', 'confident protagonist', 'cultivation', 'cunning protagonist', 'distrustful protagonist', 'enemies become lovers', 'futuristic setting', 'handsome male lead', 'human-nonhuman relationship', 'kind love interests', 'male protagonist', 'master-disciple relationship', 'overpowered protagonist', 'possessive characters', 'power couple', 'protagonist strong from the start', 'shameless protagonist', 'strong love interests', 'system administrator', 'transmigration']",2019,,jjwxc,,True,176 chapters,False,c8,0.5,2000,200,3984,454,1351,4321,4.2,19,,"['21581', '21539', '13953', '29628', '12209', '7465']",
15752,Extraordinary Genius,"['Chāo pǐn qícái', '超品奇才']",chinese,"['qióng sì', '穷四']","['harem', 'mature', 'school life', 'seinen', 'slice of life']","['arrogant characters', 'business management', 'businessmen', 'calm protagonist', 'clever protagonist', 'discrimination', 'gangs', 'hard-working protagonist', 'industrialization', 'male protagonist', 'mature protagonist', 'modern day', 'modern knowledge', 'money grubber', 'nationalism', 'politics', 'polygamy', 'poor to rich', 'racism', 'romantic subplot', 'second chance', 'shameless protagonist', 'tragic past']",2015,False,qidian,,True,2090 chapters,False,c900,0.9,133,156,240,3378,144,1050,3.7,243,,"['6001', '12625', '8033', '12698', '15181', '15196']","[8018, 5936, 4944, 4522, 3261]"
25595,Fake Slackers,"['伪学渣装', '伪装学渣']",chinese,"['mu gua huang', '木瓜黄']","['comedy', 'romance', 'school life', 'shounen ai', 'slice of life']","['adapted to drama cd', 'anti-social protagonist', 'calm protagonist', 'cold protagonist', 'coming of age', 'complex family relationships', 'confident protagonist', 'cute story', 'friendship', 'genius protagonist', 'handsome male lead', 'male protagonist', 'modern day', 'slow romance', 'strong love interests']",2018,True,jjwxc,chaleuria,True,112 chapters,False,c88,2.1,348,439,1946,1458,437,2434,4.5,75,['29772'],"['24360', '19748', '15883', '23209', '12620', '19987']","[9405, 9288, 9225, 9205, 9130]"
25523,Fallen Monarch,"['FM', '타락의 군주']",korean,"['i.c. han', 'shadow-kun', '그림자꾼']","['action', 'adventure', 'fantasy', 'mature', 'tragedy']","['abandoned children', 'betrayal', 'dark', 'demon lord', 'fantasy world', 'former hero', 'godly powers', 'gods', 'immortals', 'magic', 'male protagonist', 'medieval', 'naive protagonist', 'nobles', 'orphans', 'priests', 'reincarnation', 'religions', 'sword and magic', 'sword wielder', 'tragic past', 'younger love interests']",2016,True,munpia,meteor strike media,True,152 chapters,False,c69,2.3,1459,1670,2736,580,1226,3966,3.6,54,['25313'],,"[3916, 168]"
